"TLID,N,10,0","FEDIRP,C,2","FENAME,C,16","FETYPE,C,5","FEDIRS,C,2","FRADDL,N,5,0","TOADDL,N,5,0","FRADDR,N,5,0","TOADDR,N,5,0"
184619449,S,Wenna,St,,1040,1026,1199,1025
184632270,N,Hallanol,Dr,,,,,
184632283,S,Ermou,St,,,,,
184632377,N,Handstil,Pl,,,,,
184633316,,,,,,,,
184633423,N,Pilau,St,,3699,3097,,
184633684,N,Tempon,Dr,,,,,
184642319,,Egeou,Ave,,5600,5698,5569,5585
184642322,N,Leeno,St,,4716,4798,4763,4799
184642323,N,Santaroza,St,,5598,5500,5599,5501
184642332,,Reto,Way,,,,,
184642931,N,Rosyn,Dr,,5300,5308,,
184642937,N,Sachtouri,Ln,,,,,
184642938,,Pherlau,Ln,N,6700,6798,6701,6799
184642939,,Pherlau,Ln,N,,,,
184642940,N,Obil,St,,5000,5098,5001,5099
184642941,N,Distomou,St,,6600,6798,6521,6799
184642942,N,Obil,St,,4942,4998,4941,4999
184642955,N,Medel,St,,5010,5220,5001,5223
184642956,N,Distomou,St,,6500,6598,6501,6519
184642957,N,Diogenous,St,,,,,
184642958,N,Diogenous,St,,,,,
184642960,N,Diogenous,St,,6500,6598,6501,6599
184642961,N,Medel,St,,4900,5008,4907,4999
184642962,N,Kakavaki,St,,5002,5304,5009,5299
184642963,N,Kakavaki,St,,4900,5000,4909,5007
184642964,,Pherlau,Ln,N,,,,
184642965,N,Pergamou,Ln,,6700,6798,6701,6799
184642967,N,Obil,St,,4900,4940,4901,4939
184642968,N,Desafio,St,,6614,6798,6601,6709
184642972,N,Desafio,St,,6500,6612,6577,6599
184642977,N,Medel,St,,4850,4898,4851,4905
184642979,N,Medel,St,,4824,4848,4815,4849
184642980,N,Medel,St,,4800,4822,4801,4813
184642981,N,Joya,Rd,,6400,6598,6401,6599
184642982,N,Derwen,St,,6600,6650,6601,6649
184642984,N,Kiou,St,,6550,6598,6551,6599
184642985,N,Kiou,St,,6500,6548,6501,6549
184642986,N,Derwen,St,,6500,6598,6421,6599
184642987,N,Medel,St,,4600,4798,4601,4799
184642989,N,Kakavaki,St,,,,4901,4907
184642990,N,Desafio,St,,6400,6498,6435,6499
184642991,N,Joya,Rd,,4800,4848,4801,4849
184642992,N,Desafio,St,,6350,6398,6401,6433
184642993,N,Kakavaki,St,,4800,4850,4801,4851
184642994,N,Joya,Rd,,4850,6398,4851,6399
184642995,N,Kiou,St,,6300,6398,6301,6399
184642996,N,Kakavaki,St,,4650,4698,4701,4799
184642997,N,Derwen,St,,6400,6498,6401,6419
184642999,,,,,,,,
184643000,,Grammou,,,,,,
184643001,,,,,,,,
184643002,N,Kakavaki,St,,4600,4648,4601,4699
184643003,N,Medel,St,,4500,4598,4501,4599
184643004,N,Delfon,St,,6500,6614,6501,6599
184643005,N,Darluniau,St,,6500,6598,6501,6599
184643006,N,Medel,St,,4300,4498,4301,4499
184643007,N,Kakavaki,St,,4500,4598,4501,4599
184643008,N,Delfon,St,,6400,6498,6351,6499
184643009,N,Kakavaki,St,,4300,4498,4351,4499
184643010,N,Darluniau,St,,6400,6498,6401,6499
184643012,N,Carretera,St,,6500,6598,6501,6599
184643013,N,Kakavaki,St,,4150,4298,4201,4349
184643014,N,Kakavaki,St,,4000,4148,4001,4199
184643015,N,Carnero,St,,6400,6498,6401,6499
184643017,N,Camino,St,,6400,6498,6401,6499
184643047,N,Kiprou,St,,2000,2206,1751,2299
184643048,N,Anrop,St,,7308,7398,7301,7313
184643053,N,Kiprou,St,,1700,1998,1701,1749
184643056,N,Opalante,Dr,,1500,1698,1501,1699
184643057,N,Kiprou,St,,1500,1698,1501,1699
184643058,N,Alfiou,St,,7300,7398,7301,7399
184643071,N,Alamanas,St,,7400,7498,7401,7499
184643073,N,Kiprou,St,,1300,1498,1301,1499
184643074,N,Alamanas,St,,7300,7398,7301,7399
184643075,N,Agiasou,St,,7400,7498,7401,7499
184643077,,Kiprou,St,,1100,1298,1131,1299
184643082,N,Achilleos,St,,7300,7398,7301,7399
184643091,N,Undeg,Dr,,2490,2638,2415,2501
184643092,N,Undeg,Dr,,2640,2698,2503,2699
184643093,N,Arkadou,St,,7200,7298,6901,7299
184643094,,,,,,,,
184643095,N,Arbete,St,,7200,7298,7201,7299
184643096,,Karaiskaki,St,,,,,
184643097,,Karaiskaki,St,,2599,2301,2598,2300
184643099,N,Owena,Pl,,2958,3014,2915,3023
184643100,N,Gata,Ln,,6999,6901,6998,6900
184643101,N,Owena,Pl,,2912,2956,2823,2913
184643103,N,Gawenoliau,Dr,,2500,2698,2401,2699
184643104,N,Arkadou,St,,7000,7098,7001,7099
184643105,,Ious,Cir,N,2600,2698,2601,2699
184643107,N,Oveja,Ln,,6900,6998,6901,6999
184643111,N,Narkissou,St,,6500,6598,6501,6599
184643112,N,Narkissou,St,,6600,6698,6601,6699
184643113,N,Owena,Pl,,2800,2830,2601,2661
184643114,N,Artakis,St,,6700,6898,6701,6899
184643119,N,Opalante,Dr,,2800,2998,2801,2999
184643121,N,Opalante,Dr,,,,,
184643125,N,Arkadiou,St,,6499,6301,6498,6300
184643127,N,Kiprou,St,,2208,2398,2301,2399
184643128,N,Undeg,Dr,,2442,2488,2387,2413
184643131,N,Kanari,Cir,,2000,2098,2001,2099
184643132,N,Karaiskaki,St,,2000,2248,2001,2249
184643133,,,,,,,,
184643134,N,Anrop,St,,7214,7306,7251,7299
184643135,N,Karaiskaki,St,,2250,2398,2251,2399
184643136,N,Anrop,St,,7200,7212,7201,7249
184643137,N,Anrop,St,,7100,7198,7151,7199
184643138,N,Opalante,Dr,,1700,2248,1701,2249
184643139,N,Gawenoliau,Dr,,1742,1782,1745,1775
184643140,,Lonn,St,,1500,1698,1501,1699
184643141,,Korai,Cir,,1300,1398,1301,1399
184643142,N,Antoniadou,St,,7050,7098,7051,7099
184643143,N,Opalante,Dr,,2300,2398,2301,2399
