type,date(yyyyMMddHHmmss),author,message,latitude,longitude, location
mbdata,20140123170000,POK,follow we @POK Kronos,,,
mbdata,20140123170000,maha_Homeland,do n't miss moment   follow live coverage POK Rally Park,,,
mbdata,20140123170000,Viktor-E,come join we Park music tonight Abila City Park,,,
mbdata,20140123170000,KronosStar,POK rally start Abila City Park POK leader Sylvia Marek open speech � KronosStar,,,
mbdata,20140123170000,AbilaPost,POK rally set take place Abila City Park POK leader Sylvia Marek begin opening remark AbilaPost,,,
mbdata,20140123170000,ourcountryourrights,pok rally park tonight pokrally,,,
mbdata,20140123170000,ReggieWassali,great day rally RememberJuliana RememberElian pok,,,
mbdata,20140123170000,MindOfKronos,ugh POKers anooying pok gowaway,,,
mbdata,20140123170000,FriendsOfKronos,massive rally POK terrorist cop gather waiting arrest,,,
ccdata,20140123170000,,keep the peace crowd control ABILA CITY PARK,,,Egeou St / Parla St
mbdata,20140123170000,rockinHW,artist musician need follower click   followme.kronos/artists abila artist,,,
mbdata,20140123170000,KronosQuoth,success walk failure failure loss enthusiasm   POKRally HI,,,
mbdata,20140123170000,KronosQuoth,a person never make mistake never try anything new   KronosStar POKRally,,,
mbdata,20140123170024,KronosQuoth,the person destine become person decide   KronosStar POKRally,,,
mbdata,20140123170024,KronosQuoth,knowledge aware wisdom knowing   POKRally hi,,,
mbdata,20140123170055,Clevvah4Evah,I want job 80 mental 30 fiscal pok Rally Grammar,,,
mbdata,20140123170055,KronosQuoth,the meaning life find gift the purpose life give away   POKRally hi,,,
mbdata,20140123170100,rrWine,rt @AbilaPost POK rally set take place Abila City Park POK leader Sylvia Marek begin opening remark AbilaPost,,,
mbdata,20140123170119,KronosQuoth,if be go hell keep go   POKRally hi,,,
mbdata,20140123170119,KronosQuoth,you miss 100 shot nt take   KronosStar POKRally,,,
mbdata,20140123170119,KronosQuoth,you may succeed desire succeed may fail mind fail   POKRally hi,,,
mbdata,20140123170119,KronosQuoth,I nt fail test I find 100 way wrong   KronosStar POKRally,,,
mbdata,20140123170150,KronosQuoth,to accomplish great thing must act also dream plan also believe POKRally HI,,,
mbdata,20140123170150,KronosQuoth,thinking become capital asset matter whatever up down come across life   POKRally hi,,,
mbdata,20140123170150,KronosQuoth,do n't afraid give good go great   POKRally HI,,,
mbdata,20140123170200,pinky,rt @AbilaPost POK rally set take place Abila City Park POK leader Sylvia Marek begin opening remark AbilaPost,,,
mbdata,20140123170200,BlueVelvet,rt @AbilaPost POK rally set take place Abila City Park POK leader Sylvia Marek begin opening remark AbilaPost,,,
mbdata,20140123170200,dragonRider1,rt @MindOfKronos ugh POKers anooying POK gowaway,,,
ccdata,20140123170210,,traffic stop,,,N. Els St / N. Polvo St
mbdata,20140123170221,Clevvah4Evah,you penultimate girlfriend pok Rally Grammar,,,
mbdata,20140123170221,KronosQuoth,I product circumstance I product decision   KronosStar POKRally,,,
mbdata,20140123170221,KronosQuoth,success know purpose life growing reach maximum potential sow seed benefit other   POKRally HI,,,
mbdata,20140123170221,KronosQuoth,the person destine become person decide   KronosStar POKRally,,,
mbdata,20140123170231,POK,POK leader Sylvia Market taking stage warm welcome crowd,,,
mbdata,20140123170231,AbilaPost,concern violence surround POK rally today heavy police presence AbilaPost,,,
mbdata,20140123170246,KronosQuoth,it never late might   KronosStar POKRally,,,
mbdata,20140123170246,KronosQuoth,you may fight battle win   POKRally HI,,,
mbdata,20140123170246,KronosQuoth,in order succeed desire success great fear failure   KronosStar POKRally,,,
mbdata,20140123170246,KronosQuoth,if want child turn well spend twice much time half much money   KronosStar POKRally,,,
mbdata,20140123170300,blueSunshine,rt @AbilaPost POK rally set take place Abila City Park POK leader Sylvia Marek begin opening remark AbilaPost,,,
mbdata,20140123170300,dtennent,rt @AbilaPost POK rally set take place Abila City Park POK leader Sylvia Marek begin opening remark AbilaPost,,,
mbdata,20140123170300,BlueVelvet,rt @AbilaPost POK rally set take place Abila City Park POK leader Sylvia Marek begin opening remark AbilaPost,,,
mbdata,20140123170316,KronosQuoth,it year life count it life year   KronosStar POKRally,,,
mbdata,20140123170316,KronosQuoth,if n't value time neither other stop give away time talents- start charge   POKRally HI,,,
mbdata,20140123170331,klingon4real,RT @AbilaPost concern violence surround POK rally today heavy police presence AbilaPost,,,
mbdata,20140123170338,KronosQuoth,if n't value time neither other stop give away time talents- start charge   POKRally HI,,,
mbdata,20140123170344,POK,Sylvia Marek introducing guest,,,
mbdata,20140123170344,CentralBulletin,POK rally today Abila City Park concern violence heavy police presence Abila CentralBulletin,,,
mbdata,20140123170344,choconibbs,Marek terrorist introduce terrorist POKRally,,,
mbdata,20140123170344,FriendsOfKronos,long POK terrorist start destroy park,,,
mbdata,20140123170400,sarajane,rt @AbilaPost POK rally set take place Abila City Park POK leader Sylvia Marek begin opening remark AbilaPost,,,
mbdata,20140123170400,wiseWords,rt @ourcountryourrights POK rally park tonight POKrally,,,
mbdata,20140123170403,KronosQuoth,the secret universe depend intrinsic timelessness POKRally HI,,,
mbdata,20140123170433,KronosQuoth,the function leadership produce leader follower   POKRally HI,,,
mbdata,20140123170444,phantomagate,rt @CentralBulletin POK rally today Abila City Park concern violence heavy police presence Abila CentralBulletin,,,
mbdata,20140123170459,KronosQuoth,it be look matter be see   POKRally hi,,,
mbdata,20140123170459,KronosQuoth,if n't value time neither other stop give away time talents- start charge   POKRally HI,,,
mbdata,20140123170513,Viktor-E,meet band show tonight,,,
mbdata,20140123170513,ourcountryourrights,Sylvia Marek open welcoming remark pok,,,
ccdata,20140123170513,,PARK CHECK,,,2099 Sannan Pky
mbdata,20140123170519,KronosQuoth,whatever dream begin   boldness genius power magic   KronosStar POKRally,,,
mbdata,20140123170531,teresaJ,RT @POK POK leader Sylvia Market take stage warm welcome crowd,,,
mbdata,20140123170531,microBanana,RT @AbilaPost concern violence surround POK rally today heavy police presence AbilaPost,,,
mbdata,20140123170531,siliconKing,RT @AbilaPost concern violence surround POK rally today heavy police presence AbilaPost,,,
mbdata,20140123170543,KronosQuoth,when doubt punt   KronosStar POKRally,,,
mbdata,20140123170544,dtennent,rt @CentralBulletin POK rally today Abila City Park concern violence heavy police presence Abila CentralBulletin,,,
mbdata,20140123170544,vetsRock,rt @CentralBulletin POK rally today Abila City Park concern violence heavy police presence Abila CentralBulletin,,,
mbdata,20140123170603,KronosQuoth,success walk failure failure loss enthusiasm   POKRally HI,,,
mbdata,20140123170633,KronosQuoth,success sum small effort repeat day day   POKRally HI,,,
mbdata,20140123170644,wireHead1122,rt @CentralBulletin POK rally today Abila City Park concern violence heavy police presence Abila CentralBulletin,,,
mbdata,20140123170644,wireHead1122,rt @CentralBulletin POK rally today Abila City Park concern violence heavy police presence Abila CentralBulletin,,,
mbdata,20140123170659,mainman447,easy credit card get be worth easycredit.kronos/morecredit abila nobanks,,,
mbdata,20140123170659,KronosQuoth,real difficulty overcome imaginary one unconquerable   POKRally HI,,,
mbdata,20140123170659,KronosQuoth,success walk failure failure loss enthusiasm   POKRally HI,,,
mbdata,20140123170659,KronosQuoth,there two type people tell make difference world POKRally hi,,,
mbdata,20140123170724,KronosQuoth,either run day day run   KronosStar POKRally,,,
mbdata,20140123170724,KronosQuoth,teach thy tongue say I know thou shalt progress   KronosStar POKRally,,,
mbdata,20140123170724,KronosQuoth,just caterpillar think world end turn butterfly   POKRally HI,,,
mbdata,20140123170744,blueSunshine,rt @CentralBulletin POK rally today Abila City Park concern violence heavy police presence Abila CentralBulletin,,,
mbdata,20140123170748,KronosQuoth,People often say motivation nt last well neither bathing   that recommend daily   KronosStar POKRally,,,
mbdata,20140123170748,grassGreeener,this nut I swear I be getting 100 follower program check followers.kronos/getpeople abila follower,,,
mbdata,20140123170748,dealsRUs101,"gain 1,000 follower week use getem.kronos/followers abilaFinest followme",,,
mbdata,20140123170813,luvMyPants,RT @Viktor E meet band show tonight,,,
mbdata,20140123170815,KronosQuoth,a person never make mistake never try anything new   KronosStar POKRally,,,
mbdata,20140123170815,KronosQuoth,life 10 happen 90 I react   KronosStar POKRally,,,
mbdata,20140123170815,Clevvah4Evah,you got low self coincidence pok Rally Grammar,,,
mbdata,20140123170839,Clevvah4Evah,I would like return complement pok Rally Grammar,,,
mbdata,20140123170839,KronosQuoth,I learn year ones mind make diminish fear   KronosStar POKRally,,,
mbdata,20140123170901,KronosQuoth,your time limited nt waste living someone elses life   KronosStar POKRally,,,
mbdata,20140123170901,KronosQuoth,as look ahead next century leader empower other   POKRally HI,,,
